State,StCodeAP,StCodeInd,District,DstCodeAP,DstCodeInd,Mandal,MndCodeAP,MndCodeInd,Village,VillCodeAP,VillCodeIn,Shape_Area
Andhra Pradesh,28,28,Prakasam,17,549,Veligandla,38,05135,Kankanam Padu,010,591233,23.15578865380
Andhra Pradesh,28,28,Prakasam,17,549,Kanigiri,22,05136,Tallur,016,591264,10.64517509760
Andhra Pradesh,28,28,Prakasam,17,549,Kotha Patnam,28,05140,Payakari Khandrika,005,591350,1.93620207287
Andhra Pradesh,28,28,Prakasam,17,549,Komarolu,19,05134,Nagireddipalle,002,591204,1.91153512545
Andhra Pradesh,28,28,Prakasam,17,549,Zarugumilli,31,05142,Narasimhanayani Khandrika,002,591370,11.17669928960
Andhra Pradesh,28,28,Prakasam,17,549,Kanigiri,22,05136,Peramgudi Palle,020,591268,3.19414882162
Andhra Pradesh,28,28,Prakasam,17,549,Kanigiri,22,05136,China Irlapadu,019,591267,5.89902536253
Andhra Pradesh,28,28,Prakasam,17,549,Kanigiri,22,05136,Hazis Puram,017,591265,16.97733633220
Andhra Pradesh,28,28,Prakasam,17,549,Komarolu,19,05134,Daddawada,001,591203,19.13697475260
Andhra Pradesh,28,28,Prakasam,17,549,Tangutur,29,05141,Turupunaidupalem,006,591365,2.30875958963
Andhra Pradesh,28,28,Prakasam,17,549,Tangutur,29,05141,Jayavaram,004,591358,6.20686517054
Andhra Pradesh,28,28,Prakasam,17,549,Kondapi,33,05137,K.Uppalapadu,022,591311,11.26920475100
Andhra Pradesh,28,28,Prakasam,17,549,Kondapi,33,05137,China Venkana Palem,021,591310,3.55023734809
Andhra Pradesh,28,28,Prakasam,17,549,Kondapi,33,05137,Vennuru,020,591309,15.18579002570
Andhra Pradesh,28,28,Prakasam,17,549,Veligandla,38,05135,Jangam Narasaya Palle,002,591225,4.50670031531
Andhra Pradesh,28,28,Prakasam,17,549,Kanigiri,22,05136,Kodigudla Padu (West),018,591266,5.91928762549
Andhra Pradesh,28,28,Prakasam,17,549,Veligandla,38,05135,Pulikuntla Ralla Palle,004,591227,19.09502837960
Andhra Pradesh,28,28,Prakasam,17,549,Veligandla,38,05135,Panduva,006,591229,12.31333057060
Andhra Pradesh,28,28,Prakasam,17,549,Kotha Patnam,28,05140,Madanur,007,591351,16.61351085210
Andhra Pradesh,28,28,Prakasam,17,549,Zarugumilli,31,05142,Vardhineni Palem,003,591371,6.78071869715
Andhra Pradesh,28,28,Prakasam,17,549,Tangutur,29,05141,Tangutur,001,591366,37.69551292210
Andhra Pradesh,28,28,Prakasam,17,549,Veligandla,38,05135,Perugupalle,013,591236,7.64669464281
