ID,ORG_CODE,ORG_SHORTNAME,ORG_TYPE,ORG_NAME,REPORT_ORG
333,AG276,MTA,AO,"Agriculture Market Committee, Tanakallu",AGC05
334,AG277,MUK,AO,"Agriculture Market Committee, Uravakonda",AGC05
335,AG278,MKN,AO,"Agriculture Market Committee, Kurnool",AGC05
336,AG279,MAO,AO,"Agriculture Market Committee, Adoni",AGC05
337,AG280,MNY,AO,"Agriculture Market Committee, Nandyal",AGC05
338,AG281,MYN,AO,"Agriculture Market Committee, Yemmiganur",AGC05
339,AG282,MAA,AO,"Agriculture Market Committee, Allagadda",AGC05
340,AG283,MDO,AO,"Agriculture Market Committee, Dhone",AGC05
341,AG284,MNN,AO,"Agriculture Market Committee, Nandikotkur",AGC05
342,AG285,MAX,AO,"Agriculture Market Committee, Atmakur",AGC05
343,AG286,MBG,AO,"Agriculture Market Committee, Banaganapalli",AGC05
344,AG287,MKB,AO,"Agriculture Market Committee, Koilkuntla",AGC05
345,AG288,MAZ,AO,"Agriculture Market Committee, Alur",AGC05
346,AG289,MTO,AO,"Agriculture Market Committee, Pattikonda",AGC05
1755,AG290,AMP,AO,"Agricultural Market Committee, Pendurthi",AGC05
1756,AG291,AMA,AO,"Agricultural Market Committee, Arakuvalley",AGC05
1757,AG292,AMM,AO,"Agricultural Market Committee, Madugula",AGC05
1758,AG293,AMR,AO,"Agricultural Market Committee, Payakaraopeta",AGC05
347,AGC51,SED,AO,AP State Seeds Development Corporation (AP SEEDS),AGC01
348,AGC52,AIC,AO,AP State Agro Industries Corporation (AP AGROS),AGC01
349,AGC53,SCA,AO,AP State Seeds Certification Agency ?,AGC01
350,AGC54,SSC,AO,Federation of Sericulturists and Silk Weavers Cooperative Societies Federation (SERIFED),AGC01
351,AGC55,CJF,AO,AP State Cooperative Joint Farming and Labour Contract Societies Federation,AGC01
352,AGC56,OSF,AO,AP State Cooperative Oil Seeds Growers Federation (OILFED),AGC01
353,AGC57,MFD,AO,AP State Cooperative Marketing Federation (MARKFED),AGC01
354,AGC58,WAR,AO,AP State Warehousing Corporation,AGC01
355,AGC59,RYS,AO,Rythu Sadhikara Samstha (Company),AGC01
356,AGC60,RSK,AO,RESCO Kuppam,AGC01
357,AGC61,RSP,AO,RESCO Chepurupalli,AGC01
358,AGC62,RKK,AO,RESCO Kasimkota,AGC01
359,AGC63,AMT,AO,State Agricultural Management & Extension Training Institute,AGC01
723,AGC66,HCU,AO,Dr. YSR Horticultural University,AGC01
1733,AGC67,DCB,AO,The AP State Co Operative Bank Ltd,AGC06
1751,AGC68,NGU,AO,Acharya N.G.Ranga Agricultural University(ANGRAU),AGC01
361,AHF51,DAI,AO,AP Dairy Development Cooperative Federation (AP DIARY),AHF01
362,AHF52,SHE,AO,AP State Sheep & Goat Development Co-operative Federation,AHF01
363,AHF53,LDA,AO,AP Livestock Development Agency ?,AHF01
364,AHF54,ARL,AO,AP Centre for Advanced Research on Livestock (APCARL),AHF01
365,AHF55,FCF,AO,AP State Fishermen Cooperative Societies Federation Ltd,AHF01
366,AHF56,AVC,AO,AP Veterinary Council,AHF01
1744,AHF57,VVU,AO,Sri Venkateswara Veterinary University,AHF01
1770,AHF58,AFU,AO,AP Fisheries University,AHF01
1803,AHF59,PVAC,AO,AP Para Veterinary and Allied Council,AHF01
367,BCW51,BCF,AO,AP BC Cooperative Finance Corporation,BCW01
368,BCW52,BAL,AO,"AP Krishna Balija, Poosala Cooperative Societies Federation Ltd",BCW01
369,BCW53,UPP,AO,AP Sagara (Uppara) Cooperative Societies Federation Ltd,BCW01
370,BCW54,VAD,AO,AP Vaddera Cooperative Societies Federation Ltd,BCW01
371,BCW55,VAL,AO,AP Valmiki/Boya Cooperative Societies Federation Ltd,BCW01
372,BCW56,BHA,AO,AP Bhattaraja Cooperative Societies Federation Ltd,BCW01
373,BCW57,NAY,AO,AP Nayee Brahmins Cooperative Societies Federation Ltd,BCW01
374,BCW58,WAS,AO,AP Washermen Cooperative Societies Federation Ltd,BCW01
375,BCW59,BCC,AO,AP Commission for Backward Classes,BCW01
376,BCW60,BSC,AO,BC Study Circle,BCW01
377,BCW61,AMF,AO,AP Medara Finance Corporation Ltd,BCW01
378,BCW62,VSW,AO,AP State Viswabrahmins Co-operative Corporation Ltd,BCW01
379,BCW63,KUM,AO,"AP State Kummari, Shalivahana Co-operative Societies",BCW01
